1,Estado de Santa Catarina,SC,S,Rod SC 401 - Km 5, nº 4600,,Saco Grande II,76414,32218688            ,88032005,SC,ouvidoria@ouvidoria.sc.gov.br,,,,,A,,1970-01-01 00:00:00,,9,t,t,t,t,t,f,,f,t,,f,f,f,t,123402,20,0,0,,Estado de Santa Catarina - SC
2,Ouvidoria Geral do Estado,OGE,S,Rod SC 401 - Km 5, nº 4600,,Saco Grande II,76414,32218688            ,88032005,SC,ouvidoria@cge.sc.gov.br,,,,,A,Secretaria do Estado da Administração,1970-01-01 00:00:00,1970-01-01 00:00:00,9,t,t,t,t,t,t,1,f,f,SC_123,t,f,f,t,611434,30,30,1,,SC::Ouvidoria Geral do Estado - OGE
3,Companhia Integrada de Desenvolvimento Agrícola de SC,CIDASC,S,Rod. Admar Gonzaga, 1588,Km 3,Itacorubi,76414,(48) 3665-7000      ,88034001,SC,,,,,,A,Ouvidoria Geral do Estado,2008-01-29 00:00:00,,5,t,t,t,t,t,f,48,t,f,SC_505,f,f,f,t,614075,30,30,1,,SC::OGE::SAR::Companhia Integrada de Desenvolvimento Agrícola de SC - CIDASC
4,Agência de Desenvolvimento Regional - Blumenau,ADR BNU,S,Av. Braz Wanka, 238,,Vila Nova,75680,47 33788000         ,89035160,SC,jocimeirys@bnu.sc.gov.br,Lúcio Cesar Dib Botelho,Secretário,Jocimeiry Schroh,Ouvidor,I,Ouvidoria Geral do Estado,2008-02-06 00:00:00,,9,f,t,t,t,t,f,2,t,f,SC_506,f,t,f,t,384453,,,,,SC::OGE::Agência de Desenvolvimento Regional - Blumenau - ADR BNU
5,Agência de Desenvolvimento Regional - Braço do Norte,ADR BNE,S,Rua Santa Augusta, 59,,Centro,75787,48 36586929         ,88750000,SC,guega_bn@hotmail.com,Gelson Luiz Padilha,Secretário,Rosineide de Souza Sandrini,Ouvidor,I,,2008-02-08 00:00:00,,9,f,t,t,t,t,f,2,t,f,SC_507,f,t,f,t,329394,,,,,SC::OGE::Agência de Desenvolvimento Regional - Braço do Norte - ADR BNE
6,Agência de Desenvolvimento Regional - Araranguá (22ª),ADR ARA,S,Rua: Porfírio Lopes de Aguiar, 401,,Cidade Alta,75400,48 3529 0064        ,88900000,SC,zleonardo@sed.sc.gov.br,Heriberto Affonso Schimidt,Secretário,Zilda Leonardo,,I,,,,9,f,t,t,t,t,f,2,t,f,SC_508,f,t,f,t,383636,,,,,SC::OGE::Agência de Desenvolvimento Regional - Araranguá (22ª) - ADR ARA
7,Agência de Desenvolvimento Regional - Brusque (16ª),ADR BQE,S,R Joao Bauer, 434,,Centro,75809,47 32518100         ,3350100 ,SC,vilmar1@deinfra.sc.gov.br,Jones Bósio,Secretário de Estado,Vilmar Wippel,,I,,,,9,f,t,t,t,t,f,2,t,f,SC_509,f,t,f,t,329394,,,,,SC::OGE::Agência de Desenvolvimento Regional - Brusque (16ª) - ADR BQE
8,Agência de Desenvolvimento Regional - Caçador (10a),ADR CDR,S,Rua Carlos Coelho de Souza, 120,,DER,75817,49 35615900         ,89500000,SC,janete@cdr.sdr.sc.gov.br,Valdir Vital Cobalchini,Secretário,Janete Pereira da Cunha Orsolin,Ouvidora,I,,,,9,f,t,t,t,t,f,2,t,f,SC_510,f,t,f,t,329394,,,,,SC::OGE::Agência de Desenvolvimento Regional - Caçador (10a) - ADR CDR
9,Agência de Desenvolvimento Regional - Campos Novos,ADR CNV,S,Rua Cel. Farrapos, 1119,,Centro,75922,49 3541 3316        ,89620000,SC,alaorgotz@cnv.sdr.sc.gov.br,Vilibaldo Erich Schmid,Secretário de Estado,Alaor Gotz,ouvidor,I,,,,9,f,t,t,t,t,f,2,t,f,SC_511,f,t,f,t,384453,,,,,SC::OGE::Agência de Desenvolvimento Regional - Campos Novos - ADR CNV
10,Agência de Desenvolvimento Regional - Canoinhas,ADR CNI,S,Rua Vidal Ramos, 1005,,Centro,75965,47 3622 2731        ,89460000,SC,ricardopm@cni.sdr.sc.gov.br,Ricardo Pereira Martin,Secretário de Estado,Ricardo Pereira Martin,,I,,,,9,f,t,t,t,t,f,2,t,f,SC_512,f,t,f,t,329394,,,,,SC::OGE::Agência de Desenvolvimento Regional - Canoinhas - ADR CNI
11,Agência de Desenvolvimento Regional - Concórdia (6ª),ADR CDA,S,Travessa Irmã Leopoldina, 136,,Centro,76112,49 34423878         ,89700000,SC,geniland@cda.sdr.sc.gov.br,Paulo Eduardo Pastore,Secretário de Estado,Geni Salete Ansolin Land,Ouvidora,I,,,,9,f,t,t,t,t,t,2,t,f,SC_513,f,t,f,t,384453,,,,,SC::OGE::Agência de Desenvolvimento Regional - Concórdia (6ª) - ADR CDA
12,Agência de Desenvolvimento Regional - Criciúma (21ª),ADR CRI,S,Rod. SC 443 - km 01, 670,,Próspera,76180,48 34031034         ,88813600,SC,miriamsoratto@cua.sdr.sc.gov.br,Paulo Eduardo Pastore,Secretário de Estado,Miriam Teresinha Soratto,,I,,,,9,f,t,t,t,t,f,2,t,f,SC_514,f,t,f,t,384453,,,,,SC::OGE::Agência de Desenvolvimento Regional - Criciúma (21ª) - ADR CRI
13,Agência de Desenvolvimento Regional - Chapecó (4ª),ADR CCO,S,Rua Nereu Ramos, 31 E 4º e 5º andar,,Centro,76066,49-2049-7405        ,89801410,SC,lportella@cco.sdr.sc.gov.br,Américo do Nascimento Junior,Secretário de Estado,Luci Portella,Ouvidora,I,,,,,f,t,t,t,t,f,2,t,f,SC_515,f,t,f,t,384453,,,,,SC::OGE::Agência de Desenvolvimento Regional - Chapecó (4ª) - ADR CCO
14,Agência de Desenvolvimento Regional - Curitibanos (11ª),ADR CBS,S,Rua Dr Lauro Muller, 15,,Centro,76201,49 34123016         ,89520000,SC,sidnei@cbs.sdr.sc.gov.br,Vanderlei Sartori,Secretário de Estado,Sidnei Rodrigues de Souza,Ouvidor,I,,,,9,f,t,t,t,t,f,2,t,f,SC_516,f,t,f,t,383636,,,,,SC::OGE::Agência de Desenvolvimento Regional - Curitibanos (11ª) - ADR CBS
15,Agência de Desenvolvimento Regional - Dionísio Cerqueira (30ª),ADR DCA,S,AV. 7  de Setembro, 880,,,76244,49 3644 3300        ,89900000,SC,gestao30@sed.sc.gov.br,,,Vânia Maria Smaniotto,Ouvidora,I,,,,9,f,t,t,t,t,f,2,t,f,SC_517,f,t,f,t,329394,,,,,SC::OGE::Agência de Desenvolvimento Regional - Dionísio Cerqueira (30ª) - ADR DCA
16,Agência de Desenvolvimento Regional - Quilombo (32ª),ADR QBO,S,Rua Conde Deu, 226,,Centro,78174,49 33462400         ,89850000,SC,paulobeltrame@qbo.sdr.sc.gov.br,Jaksom Natal Castelli,Secretário de Estado,Paulo Beltrame,Ouvidor Setorial,I,,,,9,f,t,t,t,t,f,2,t,f,SC_518,f,t,f,t,329394,,,,,SC::OGE::Agência de Desenvolvimento Regional - Quilombo (32ª) - ADR QBO
17,Secretaria de Desenvolvimento Regional - Grande Florianópolis (18ª),SDR FNS,S,Rua das Camélias, 345,,kobrasol,78700,48 36654044         ,88102480,SC,ouvidoria@soo.sdr.sc.gov.br,,,Ivete lúcia Bruggemann Wagner,,I,,,,9,f,t,t,t,t,f,2,t,f,SC_519,f,t,f,t,581990,,,,,SC::OGE::Secretaria de Desenvolvimento Regional - Grande Florianópolis (18ª) - SDR FNS
18,Agência de Desenvolvimento Regional - Ibirama,ADR IBI,S,Rua 15 de Novembro, 53,2 piso,Centro,76716,47 3357 8900        ,89140000,SC,thatiana@iir.sdr.sc.gov.br,Roberto Ferrari,Secretário de Estado,Thatiana Carla Starke Kietzer,Ouvidor,I,,,,9,f,t,t,t,t,f,2,t,f,SC_520,f,t,f,t,329394,,,,,SC::OGE::Agência de Desenvolvimento Regional - Ibirama - ADR IBI
